category_name,title,rating
Historical Fiction,A Flight of Arrows (The Pathfinders #2),5
Historical Fiction,Mrs. Houdini,5
Historical Fiction,The Passion of Dolssa,5
Historical Fiction,Voyager (Outlander #3),5
Historical Fiction,The Red Tent,5
Historical Fiction,Between Shades of Gray,5
Historical Fiction,While You Were Mine,5
Historical Fiction,The Marriage of Opposites,4
Historical Fiction,A Paris Apartment,4
Historical Fiction,World Without End (The Pillars of the Earth #2),4
Historical Fiction,Lost Among the Living,4
Historical Fiction,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3
Historical Fiction,Glory over Everything: Beyond The Kitchen House,3
Historical Fiction,The Constant Princess (The Tudor Court #1),3
Historical Fiction,The Secret Healer,3
Historical Fiction,Starlark,3
Historical Fiction,"Love, Lies and Spies",2
Historical Fiction,Lilac Girls,2
Historical Fiction,The Last Painting of Sara de Vos,2
Historical Fiction,Girl in the Blue Coat,2
Historical Fiction,Tipping the Velvet,1
Historical Fiction,The House by the Lake,1
Historical Fiction,The Invention of Wings,1
Historical Fiction,Girl With a Pearl Earring,1
Historical Fiction,The Guernsey Literary and Potato Peel Pie Society,1
Mystery,A Time of Torment (Charlie Parker #14),5
Mystery,What Happened on Beale Street (Secrets of the South Mysteries #2),5
Mystery,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5
Mystery,The Silkworm (Cormoran Strike #2),5
Mystery,Sharp Objects,4
Mystery,The Past Never Ends,4
Mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),4
Mystery,Murder at the 42nd Street Library (Raymond Ambler #1),4
Mystery,Delivering the Truth (Quaker Midwife Mystery #1),4
Mystery,The Mysterious Affair at Styles (Hercule Poirot #1),4
Mystery,Poisonous (Max Revere Novels #3),3
Mystery,Most Wanted,3
Mystery,Boar Island (Anna Pigeon #19),3
Mystery,Playing with Fire,3
Mystery,The Exiled,3
Mystery,The Last Mile (Amos Decker #2),2
Mystery,A Study in Scarlet (Sherlock Holmes #1),2
Mystery,The Widow,2
Mystery,In the Woods (Dublin Murder Squad #1),2
Mystery,"In a Dark, Dark Wood",1
Mystery,A Murder in Time,1
Mystery,That Darkness (Gardiner and Renner #1),1
Mystery,Tastes Like Fear (DI Marnie Rome #3),1
Mystery,Hide Away (Eve Duncan #20),1
Mystery,The Cuckoo's Calling (Cormoran Strike #1),1
Travel,"1,000 Places to See Before You Die",5
Travel,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,4
Travel,A Year in Provence (Provence #1),4
Travel,See America: A Celebration of Our National Parks & Treasured Sites,3
Travel,Under the Tuscan Sun,3
Travel,Neither Here nor There: Travels in Europe,3
Travel,It's Only the Himalayas,2
Travel,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,2
Travel,A Summer In Europe,2
Travel,The Great Railway Bazaar,1
Travel,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),1
