title,price,rating_text,rating,availability,category,price_gbp,in_stock,price_inr
It's Only the Himalayas,Â£45.17,Two,2,In stock (19 available),Travel,45.17,True,4765.435
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Â£49.43,Four,4,In stock (15 available),Travel,49.43,True,5214.865
See America: A Celebration of Our National Parks & Treasured Sites,Â£48.87,Three,3,In stock (14 available),Travel,48.87,True,5155.785
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Â£36.94,Two,2,In stock (8 available),Travel,36.94,True,3897.1699999999996
Under the Tuscan Sun,Â£37.33,Three,3,In stock (7 available),Travel,37.33,True,3938.3149999999996
A Summer In Europe,Â£44.34,Two,2,In stock (7 available),Travel,44.34,True,4677.870000000001
The Great Railway Bazaar,Â£30.54,One,1,In stock (6 available),Travel,30.54,True,3221.97
A Year in Provence (Provence #1),Â£56.88,Four,4,In stock (6 available),Travel,56.88,True,6000.84
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Â£23.21,One,1,In stock (3 available),Travel,23.21,True,2448.655
Neither Here nor There: Travels in Europe,Â£38.95,Three,3,In stock (3 available),Travel,38.95,True,4109.225
"1,000 Places to See Before You Die",Â£26.08,Five,5,In stock (1 available),Travel,26.08,True,2751.4399999999996
Sharp Objects,Â£47.82,Four,4,In stock (20 available),Mystery,47.82,True,5045.01
"In a Dark, Dark Wood",Â£19.63,One,1,In stock (18 available),Mystery,19.63,True,2070.9649999999997
The Past Never Ends,Â£56.50,Four,4,In stock (16 available),Mystery,56.5,True,5960.75
A Murder in Time,Â£16.64,One,1,In stock (16 available),Mystery,16.64,True,1755.52
The Murder of Roger Ackroyd (Hercule Poirot #4),Â£44.10,Four,4,In stock (15 available),Mystery,44.1,True,4652.55
The Last Mile (Amos Decker #2),Â£54.21,Two,2,In stock (14 available),Mystery,54.21,True,5719.155
That Darkness (Gardiner and Renner #1),Â£13.92,One,1,In stock (14 available),Mystery,13.92,True,1468.56
Tastes Like Fear (DI Marnie Rome #3),Â£10.69,One,1,In stock (14 available),Mystery,10.69,True,1127.7949999999998
A Time of Torment (Charlie Parker #14),Â£48.35,Five,5,In stock (14 available),Mystery,48.35,True,5100.925
A Study in Scarlet (Sherlock Holmes #1),Â£16.73,Two,2,In stock (14 available),Mystery,16.73,True,1765.015
Poisonous (Max Revere Novels #3),Â£26.80,Three,3,In stock (12 available),Mystery,26.8,True,2827.4
Murder at the 42nd Street Library (Raymond Ambler #1),Â£54.36,Four,4,In stock (12 available),Mystery,54.36,True,5734.98
Most Wanted,Â£35.28,Three,3,In stock (12 available),Mystery,35.28,True,3722.04
Hide Away (Eve Duncan #20),Â£11.84,One,1,In stock (12 available),Mystery,11.84,True,1249.12
Boar Island (Anna Pigeon #19),Â£59.48,Three,3,In stock (12 available),Mystery,59.48,True,6275.139999999999
The Widow,Â£27.26,Two,2,In stock (11 available),Mystery,27.26,True,2875.9300000000003
Playing with Fire,Â£13.71,Three,3,In stock (11 available),Mystery,13.71,True,1446.4050000000002
What Happened on Beale Street (Secrets of the South Mysteries #2),Â£25.37,Five,5,In stock (7 available),Mystery,25.37,True,2676.5350000000003
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Â£52.30,Five,5,In stock (7 available),Mystery,52.3,True,5517.65
Delivering the Truth (Quaker Midwife Mystery #1),Â£20.89,Four,4,In stock (7 available),Mystery,20.89,True,2203.895
The Mysterious Affair at Styles (Hercule Poirot #1),Â£24.80,Four,4,In stock (6 available),Mystery,24.8,True,2616.4
In the Woods (Dublin Murder Squad #1),Â£38.38,Two,2,In stock (6 available),Mystery,38.38,True,4049.09
The Silkworm (Cormoran Strike #2),Â£23.05,Five,5,In stock (3 available),Mystery,23.05,True,2431.775
The Exiled,Â£43.45,Three,3,In stock (3 available),Mystery,43.45,True,4583.975
The Cuckoo's Calling (Cormoran Strike #1),Â£19.21,One,1,In stock (3 available),Mystery,19.21,True,2026.6550000000002
Tipping the Velvet,Â£53.74,One,1,In stock (20 available),Historical Fiction,53.74,True,5669.570000000001
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Â£29.69,Three,3,In stock (16 available),Historical Fiction,29.69,True,3132.295
A Flight of Arrows (The Pathfinders #2),Â£55.53,Five,5,In stock (16 available),Historical Fiction,55.53,True,5858.415
The House by the Lake,Â£36.95,One,1,In stock (15 available),Historical Fiction,36.95,True,3898.2250000000004
Mrs. Houdini,Â£30.25,Five,5,In stock (15 available),Historical Fiction,30.25,True,3191.375
The Marriage of Opposites,Â£28.08,Four,4,In stock (14 available),Historical Fiction,28.08,True,2962.4399999999996
Glory over Everything: Beyond The Kitchen House,Â£45.84,Three,3,In stock (14 available),Historical Fiction,45.84,True,4836.120000000001
"Love, Lies and Spies",Â£20.55,Two,2,In stock (12 available),Historical Fiction,20.55,True,2168.025
A Paris Apartment,Â£39.01,Four,4,In stock (12 available),Historical Fiction,39.01,True,4115.554999999999
Lilac Girls,Â£17.28,Two,2,In stock (11 available),Historical Fiction,17.28,True,1823.0400000000002
The Constant Princess (The Tudor Court #1),Â£16.62,Three,3,In stock (7 available),Historical Fiction,16.62,True,1753.41
The Invention of Wings,Â£37.34,One,1,In stock (6 available),Historical Fiction,37.34,True,3939.3700000000003
World Without End (The Pillars of the Earth #2),Â£32.97,Four,4,In stock (5 available),Historical Fiction,32.97,True,3478.335
The Passion of Dolssa,Â£28.32,Five,5,In stock (4 available),Historical Fiction,28.32,True,2987.76
Girl With a Pearl Earring,Â£26.77,One,1,In stock (4 available),Historical Fiction,26.77,True,2824.235
Voyager (Outlander #3),Â£21.07,Five,5,In stock (3 available),Historical Fiction,21.07,True,2222.885
The Red Tent,Â£35.66,Five,5,In stock (3 available),Historical Fiction,35.66,True,3762.1299999999997
The Last Painting of Sara de Vos,Â£55.55,Two,2,In stock (3 available),Historical Fiction,55.55,True,5860.525
The Guernsey Literary and Potato Peel Pie Society,Â£49.53,One,1,In stock (3 available),Historical Fiction,49.53,True,5225.415
Girl in the Blue Coat,Â£46.83,Two,2,In stock (3 available),Historical Fiction,46.83,True,4940.565
Between Shades of Gray,Â£20.79,Five,5,In stock (3 available),Historical Fiction,20.79,True,2193.345
While You Were Mine,Â£41.32,Five,5,In stock (1 available),Historical Fiction,41.32,True,4359.26
The Secret Healer,Â£34.56,Three,3,In stock (1 available),Historical Fiction,34.56,True,3646.0800000000004
Starlark,Â£25.83,Three,3,In stock (1 available),Historical Fiction,25.83,True,2725.0649999999996
Lost Among the Living,Â£27.70,Four,4,In stock (1 available),Historical Fiction,27.7,True,2922.35
